name;tm;nat;age;pos;cm;kg;app;min;G;A;yel;red;spG;pa%;aerWon;moM;tac;int;fouls;offW;clear;drbP;blcks;ownG;KP;drb;fouled;cOff;disp;unsT;avgP;crosses;longB;thrB
Jens Hegeler;Hertha Berlin;de;29;D(C),M(CR);193;86;3(13);480;-;-;1;-;0.8;83.6;1.8;-;0.6;0.6;0.9;0.1;1;0.3;0.2;-;0.1;0.3;0.4;0.1;0.6;0.1;13.8;-;0.2;-
Peter Pekarík;Hertha Berlin;sk;30;D(LR);176;70;12;1066;-;1;1;-;0.3;76.7;1.8;-;2.3;1.9;1;0.1;2.3;0.8;0.2;-;0.5;0.6;1.3;0.1;0.8;0.8;37.8;0.8;2.3;-
Vladimir Darida;Hertha Berlin;cz;27;M(C),FW;171;64;30(1);2599;5;2;6;-;1.3;81.5;1.3;1;0.9;2.1;1.8;-;0.6;0.8;0.2;-;1.1;0.5;1.5;0.2;1.1;1.4;53.7;0.7;2.1;-
Valentin Stocker;Hertha Berlin;ch;28;AM(CLR);179;72;10(12);835;1;-;2;-;0.7;63.2;1;-;0.6;0.4;1.4;-;0.4;1;-;-;0.5;0.4;0.3;0.2;0.5;0.8;8.8;0.1;0.2;-
Nico Schulz;Hertha Berlin;de;24;D(L),M(L);180;78;0(1);33;-;-;-;-;1;71.4;-;-;-;-;1;-;-;1;-;-;-;1;1;-;-;-;7;-;1;-
Maximilian Mittelstädt;Hertha Berlin;de;20;D(L);178;69;2(1);181;-;1;-;-;0.3;72.3;0.7;-;1;1.7;0.3;0.3;1;1;-;-;0.7;-;1;-;1.3;-;21.7;0.3;1.7;-
Rune Jarstein;Hertha Berlin;no;32;GK;190;82;28(1);2565;-;-;2;-;-;60.9;0.4;-;-;-;-;-;0.8;0.1;-;-;-;-;0.1;-;-;0.1;44.2;-;10.2;-
Alexander Baumjohann;Hertha Berlin;de;30;M(C);178;75;1(23);437;1;2;-;-;0.3;74.2;0.1;-;0.3;0.1;0.1;-;-;0.1;-;-;0.6;1;0.7;-;1;0.5;9.7;0.1;0.3;0.1
Genki Haraguchi;Hertha Berlin;jp;26;AM(LR);177;68;28(4);2522;2;3;4;-;1;74.5;0.9;2;2.1;1.1;0.9;-;0.4;1.1;-;-;0.9;1.7;1.3;0.2;1.1;1.5;22.2;0.4;0.7;-
Yanni Regäsel;Hertha Berlin;de;21;D(R);176;72;5(1);462;-;-;-;-;0.2;76;0.7;-;1;1.2;0.8;-;0.3;0.2;0.2;-;0.3;0.3;1.2;-;0.7;1.2;36.2;0.2;2.3;-
Johannes van den Bergh;Hertha Berlin;de;30;D(L),M(L);183;75;1(12);228;-;1;1;-;0.1;72.2;-;-;0.4;0.4;0.2;-;0.3;0.1;-;-;0.2;0.1;0.3;-;0.3;0.4;6.9;0.2;0.2;-
Mats Møller Dæhli;Freiburg;no;22;AM(CL),FW;177;72;0(2);49;-;-;-;-;0.5;68.8;-;-;0.5;0.5;0.5;-;-;0.5;-;-;0.5;2;-;-;1;0.5;8;-;0.5;-
Amir Falahen;Freiburg;ps;24;Forward;190;81;0(3);33;-;-;-;-;-;66.7;0.7;-;-;-;-;-;0.3;-;-;-;0.3;-;-;-;0.7;0.3;4;-;-;-
Nicolas Höfler;Freiburg;de;27;D(C),DMC;181;78;33;2961;2;2;5;-;0.3;83.4;3.2;1;2.8;2.6;1.9;0.1;1.8;1.3;0.4;-;0.7;0.9;3;-;1.2;1;65.2;0.1;2.8;-
Karim Guédé;Freiburg;sk;32;FW;184;87;14(12);1095;1;3;4;-;0.5;60.6;2;-;0.5;0.5;1.5;-;0.5;0.3;0.2;-;0.3;0.3;1.1;0.3;1;0.9;11.2;-;-;-
